platform_subscription_id,Variant ID_1,Line Quantity_1,Line Discounted Price_1,Variant ID_2,Line Quantity_2,Line Discounted Price_2,Variant ID_3,Line Quantity_3,Line Discounted Price_3,Variant ID_4,Line Quantity_4,Line Discounted Price_4,Variant ID_5,Line Quantity_5,Line Discounted Price_5,Variant ID_6,Line Quantity_6,Line Discounted Price_6,Variant ID_7,Line Quantity_7,Line Discounted Price_7,Variant ID_8,Line Quantity_8,Line Discounted Price_8,Variant ID_9,Line Quantity_9,Line Discounted Price_9,Variant ID_10,Line Quantity_10,Line Discounted Price_10,Variant ID_11,Line Quantity_11,Line Discounted Price_11,Variant ID_12,Line Quantity_12,Line Discounted Price_12,Variant ID_13,Line Quantity_13,Line Discounted Price_13,Variant ID_14,Line Quantity_14,Line Discounted Price_14,Variant ID_15,Line Quantity_15,Line Discounted Price_15
12038733933,ACTIVE,2023-02-28T15:05:44.746Z,2023-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038701165,CANCELLED,2022-11-01T23:27:54.442Z,2023-04-15T00:00:00.000Z,CANCELLED,2022-11-01T23:27:54.442Z,2023-04-15T00:00:00.000Z,CANCELLED,2022-11-01T23:27:54.442Z,2023-04-15T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038668397,CANCELLED,2023-03-19T19:38:43.626Z,2023-07-17T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038635629,ACTIVE,2022-11-01T23:30:44.352Z,2023-11-23T23:52:26.509Z,ACTIVE,2022-11-01T23:30:44.352Z,2023-11-23T23:52:26.509Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038602861,ACTIVE,2022-11-20T07:40:22.318Z,2023-11-26T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038570093,CANCELLED,2023-02-18T00:43:54.138Z,2023-06-18T00:00:00.000Z,CANCELLED,2023-02-18T00:43:54.138Z,2023-06-18T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038537325,ACTIVE,2023-03-02T20:12:34.676Z,2023-11-15T01:00:00.000Z,ACTIVE,2023-03-02T20:12:34.676Z,2023-11-15T01:00:00.000Z,ACTIVE,2023-03-02T20:12:34.676Z,2023-11-15T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038504557,CANCELLED,2023-02-16T17:21:27.324Z,2023-08-16T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038471789,CANCELLED,2023-03-09T23:40:43.345Z,2023-05-08T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038439021,CANCELLED,2023-02-11T03:46:23.332Z,2023-08-01T04:47:29.581Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038406253,ACTIVE,2023-03-12T19:37:29.267Z,2024-01-05T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038373485,CANCELLED,2023-01-28T09:31:42.562Z,2023-09-11T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038340717,CANCELLED,2023-03-12T00:33:52.279Z,2023-06-24T00:00:00.000Z,CANCELLED,2023-03-12T00:33:52.279Z,2023-06-24T00:00:00.000Z,CANCELLED,2023-03-12T00:33:52.279Z,2023-06-24T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038307949,CANCELLED,2023-02-03T12:30:30.090Z,2023-07-03T00:00:00.000Z,CANCELLED,2023-02-03T12:30:30.090Z,2023-07-03T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038275181,PAUSED,2023-03-20T16:31:32.956Z,2024-03-08T01:14:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038242413,CANCELLED,2023-03-08T16:36:01.906Z,2023-06-06T00:00:00.000Z,CANCELLED,2023-03-08T16:36:01.906Z,2023-06-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038209645,ACTIVE,2022-11-01T23:33:33.154Z,2023-10-26T00:00:00.000Z,ACTIVE,2022-11-01T23:33:33.154Z,2023-10-26T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038176877,ACTIVE,2022-11-01T23:25:08.491Z,2023-11-01T00:00:00.000Z,ACTIVE,2022-11-01T23:25:08.491Z,2023-11-01T00:00:00.000Z,ACTIVE,2022-11-01T23:25:08.491Z,2023-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038144109,ACTIVE,2022-12-29T05:45:28.871Z,2023-12-17T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038111341,CANCELLED,2023-03-16T14:56:21.179Z,2023-06-14T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038078573,CANCELLED,2023-03-10T03:51:45.540Z,2023-05-09T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038045805,CANCELLED,2023-01-27T16:54:41.377Z,2023-08-28T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038013037,CANCELLED,2023-02-26T21:01:26.470Z,2023-09-20T13:01:55.868Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037980269,ACTIVE,2023-02-25T17:46:00.121Z,2023-10-23T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037947501,CANCELLED,2023-03-21T22:56:38.298Z,2023-04-20T00:00:00.000Z,CANCELLED,2023-03-21T22:56:38.298Z,2023-04-20T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037914733,CANCELLED,2022-12-28T19:39:48.993Z,2023-08-01T00:00:00.000Z,CANCELLED,2022-12-28T19:39:48.993Z,2023-08-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037881965,ACTIVE,2022-11-01T23:26:58.343Z,2023-11-19T17:39:42.593Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037849197,ACTIVE,2022-11-28T03:24:04.890Z,2023-11-07T16:20:40.574Z,ACTIVE,2022-11-28T03:24:04.890Z,2023-11-07T16:20:40.574Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037816429,CANCELLED,2022-10-20T22:36:35.180Z,2023-05-26T00:00:00.000Z,CANCELLED,2022-10-20T22:36:35.180Z,2023-05-26T00:00:00.000Z,CANCELLED,2022-10-20T22:36:35.180Z,2023-05-26T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037783661,CANCELLED,2023-01-26T23:25:23.803Z,2023-09-23T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037750893,CANCELLED,2023-02-28T22:50:52.678Z,2023-07-04T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037718125,ACTIVE,2022-11-30T05:01:27.816Z,2023-11-30T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037685357,CANCELLED,2023-03-19T14:08:25.874Z,2023-11-14T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037652589,CANCELLED,2023-01-30T03:41:41.652Z,2023-06-17T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037619821,ACTIVE,2023-02-21T17:50:13.582Z,2023-11-19T00:00:00.000Z,ACTIVE,2023-02-21T17:50:13.582Z,2023-11-19T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037587053,CANCELLED,2023-03-05T18:27:10.764Z,2023-09-01T00:00:00.000Z,CANCELLED,2023-03-05T18:27:10.764Z,2023-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037554285,CANCELLED,2023-02-16T17:07:55.549Z,2023-06-29T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037521517,CANCELLED,2022-11-01T21:15:51.600Z,2023-04-15T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037488749,CANCELLED,2023-02-27T01:46:34.477Z,2023-06-20T13:03:05.990Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037455981,ACTIVE,2022-11-20T05:52:49.499Z,2023-11-02T00:00:00.000Z,ACTIVE,2022-11-20T05:52:49.499Z,2023-11-02T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037423213,ACTIVE,2023-02-07T15:57:35.605Z,2023-12-14T00:00:00.000Z,ACTIVE,2023-02-07T15:57:35.605Z,2023-12-14T00:00:00.000Z,ACTIVE,2023-02-07T15:57:35.605Z,2023-12-14T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037390445,CANCELLED,2022-11-24T05:12:21.144Z,2023-05-23T00:00:00.000Z,CANCELLED,2022-11-24T05:12:21.144Z,2023-05-23T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037357677,CANCELLED,2022-12-16T18:50:14.042Z,2023-04-30T16:31:05.942Z,CANCELLED,2022-12-16T18:50:14.042Z,2023-04-30T16:31:05.942Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037324909,ACTIVE,2022-11-21T07:29:58.980Z,2023-10-22T13:01:48.667Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037292141,CANCELLED,2023-02-04T15:38:50.756Z,2023-04-30T19:30:00.839Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037259373,PAUSED,2023-02-23T05:05:59.174Z,2024-03-18T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037226605,CANCELLED,2023-03-12T16:23:06.432Z,2023-05-11T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037193837,CANCELLED,2022-11-20T21:46:58.171Z,2023-08-18T00:00:00.000Z,CANCELLED,2022-11-20T21:46:58.171Z,2023-08-18T00:00:00.000Z,CANCELLED,2022-11-20T21:46:58.171Z,2023-08-18T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037161069,CANCELLED,2023-03-11T21:32:16.067Z,2023-05-10T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12037128301,CANCELLED,2022-11-22T04:54:29.395Z,2023-10-27T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
